"Resident","NumHospitalsRanked","ResidentQuality"
"res296",13,50.229534906827
"res297",8,51.8206034437938
"res298",9,46.6274738929203
"res299",11,49.1565997180642
"res300",13,52.1853948737253
"res301",12,52.0676962599792
"res302",15,48.9444437553533
"res303",12,49.3869813613329
"res304",7,48.646486999255
"res305",14,49.9271872478354
"res306",8,52.4124077053702
"res307",11,49.8635131052094
"res308",9,49.6985042252503
"res309",7,50.6138656930616
"res310",10,50.7754066151024
"res311",14,50.4661586578736
"res312",10,46.5543011649013
