HospitalPosition,Resident,HospitalsRank,ResidentsRank,MatchQuality
hosp002_pos3,res114,17,8,21
hosp002_pos3,res116,19,4,23
hosp002_pos3,res091,20,2,24
hosp002_pos3,res074,21,4,23
hosp002_pos3,res016,22,3,23
hosp002_pos3,res173,23,1,24
hosp002_pos3,res176,24,5,21
hosp002_pos3,res178,25,7,19
hosp002_pos3,res292,26,6,19
hosp002_pos3,res223,27,8,18
hosp002_pos3,res129,28,7,18
hosp002_pos3,res154,29,6,18
hosp002_pos3,res005,30,2,20
hosp002_pos3,res042,32,4,18
hosp002_pos3,res057,33,5,17
hosp002_pos3,res282,34,6,16
hosp002_pos3,res205,35,1,18
hosp002_pos4,res184,1,6,27
hosp002_pos4,res128,2,8,25
hosp002_pos4,res025,3,1,31
hosp002_pos4,res075,4,8,25
hosp002_pos4,res098,5,10,22
hosp002_pos4,res035,6,1,30
hosp002_pos4,res009,7,2,29
hosp002_pos4,res069,8,2,29
hosp002_pos4,res261,9,4,27
hosp002_pos4,res170,10,4,26
hosp002_pos4,res109,11,2,28
hosp002_pos4,res252,12,4,26
hosp002_pos4,res012,13,3,26
hosp002_pos4,res067,14,3,26
hosp002_pos4,res254,15,3,25
hosp002_pos4,res160,16,5,24
hosp002_pos4,res114,17,8,21
hosp002_pos4,res116,19,4,23
hosp002_pos4,res091,20,2,24
hosp002_pos4,res074,21,4,23
hosp002_pos4,res016,22,3,23
hosp002_pos4,res173,23,1,24
hosp002_pos4,res176,24,5,21
hosp002_pos4,res178,25,7,19
hosp002_pos4,res292,26,6,19
hosp002_pos4,res223,27,8,18
hosp002_pos4,res129,28,7,18
hosp002_pos4,res154,29,6,18
hosp002_pos4,res005,30,2,20
hosp002_pos4,res042,32,4,18
hosp002_pos4,res057,33,5,17
hosp002_pos4,res282,34,6,16
hosp002_pos4,res205,35,1,18
hosp002_pos5,res184,1,6,27
hosp002_pos5,res128,2,8,25
hosp002_pos5,res025,3,1,31
hosp002_pos5,res075,4,8,25
hosp002_pos5,res098,5,10,22
hosp002_pos5,res035,6,1,30
hosp002_pos5,res009,7,2,29
hosp002_pos5,res069,8,2,29
hosp002_pos5,res261,9,4,27
hosp002_pos5,res170,10,4,26
hosp002_pos5,res109,11,2,28
hosp002_pos5,res252,12,4,26
hosp002_pos5,res012,13,3,26
hosp002_pos5,res067,14,3,26
hosp002_pos5,res254,15,3,25
hosp002_pos5,res160,16,5,24
hosp002_pos5,res114,17,8,21
hosp002_pos5,res116,19,4,23
hosp002_pos5,res091,20,2,24
hosp002_pos5,res074,21,4,23
hosp002_pos5,res016,22,3,23
hosp002_pos5,res173,23,1,24
hosp002_pos5,res176,24,5,21
hosp002_pos5,res178,25,7,19
hosp002_pos5,res292,26,6,19
hosp002_pos5,res223,27,8,18
hosp002_pos5,res129,28,7,18
hosp002_pos5,res154,29,6,18
hosp002_pos5,res005,30,2,20
hosp002_pos5,res042,32,4,18
hosp002_pos5,res057,33,5,17
hosp002_pos5,res282,34,6,16
hosp002_pos5,res205,35,1,18
hosp002_pos6,res184,1,6,27
hosp002_pos6,res128,2,8,25
hosp002_pos6,res025,3,1,31
hosp002_pos6,res075,4,8,25
hosp002_pos6,res098,5,10,22
hosp002_pos6,res035,6,1,30
hosp002_pos6,res009,7,2,29
hosp002_pos6,res069,8,2,29
hosp002_pos6,res261,9,4,27
hosp002_pos6,res170,10,4,26
hosp002_pos6,res109,11,2,28
hosp002_pos6,res252,12,4,26
hosp002_pos6,res012,13,3,26
hosp002_pos6,res067,14,3,26
hosp002_pos6,res254,15,3,25
hosp002_pos6,res160,16,5,24
hosp002_pos6,res114,17,8,21
hosp002_pos6,res116,19,4,23
hosp002_pos6,res091,20,2,24
hosp002_pos6,res074,21,4,23
hosp002_pos6,res016,22,3,23
hosp002_pos6,res173,23,1,24
hosp002_pos6,res176,24,5,21
hosp002_pos6,res178,25,7,19
hosp002_pos6,res292,26,6,19
hosp002_pos6,res223,27,8,18
hosp002_pos6,res129,28,7,18
hosp002_pos6,res154,29,6,18
hosp002_pos6,res005,30,2,20
hosp002_pos6,res042,32,4,18
hosp002_pos6,res057,33,5,17
hosp002_pos6,res282,34,6,16
hosp002_pos6,res205,35,1,18
hosp002_pos7,res184,1,6,27
hosp002_pos7,res128,2,8,25
hosp002_pos7,res025,3,1,31
hosp002_pos7,res075,4,8,25
hosp002_pos7,res098,5,10,22
hosp002_pos7,res035,6,1,30
hosp002_pos7,res009,7,2,29
hosp002_pos7,res069,8,2,29
hosp002_pos7,res261,9,4,27
hosp002_pos7,res170,10,4,26
hosp002_pos7,res109,11,2,28
hosp002_pos7,res252,12,4,26
hosp002_pos7,res012,13,3,26
hosp002_pos7,res067,14,3,26
hosp002_pos7,res254,15,3,25
hosp002_pos7,res160,16,5,24
hosp002_pos7,res114,17,8,21
hosp002_pos7,res116,19,4,23
hosp002_pos7,res091,20,2,24
hosp002_pos7,res074,21,4,23
hosp002_pos7,res016,22,3,23
hosp002_pos7,res173,23,1,24
hosp002_pos7,res176,24,5,21
hosp002_pos7,res178,25,7,19
hosp002_pos7,res292,26,6,19
hosp002_pos7,res223,27,8,18
hosp002_pos7,res129,28,7,18
hosp002_pos7,res154,29,6,18
hosp002_pos7,res005,30,2,20
hosp002_pos7,res042,32,4,18
hosp002_pos7,res057,33,5,17
hosp002_pos7,res282,34,6,16
hosp002_pos7,res205,35,1,18
hosp002_pos8,res184,1,6,27
hosp002_pos8,res128,2,8,25
hosp002_pos8,res025,3,1,31
hosp002_pos8,res075,4,8,25
hosp002_pos8,res098,5,10,22
hosp002_pos8,res035,6,1,30
hosp002_pos8,res009,7,2,29
hosp002_pos8,res069,8,2,29
hosp002_pos8,res261,9,4,27
hosp002_pos8,res170,10,4,26
hosp002_pos8,res109,11,2,28
hosp002_pos8,res252,12,4,26
hosp002_pos8,res012,13,3,26
hosp002_pos8,res067,14,3,26
hosp002_pos8,res254,15,3,25
hosp002_pos8,res160,16,5,24
hosp002_pos8,res114,17,8,21
hosp002_pos8,res116,19,4,23
hosp002_pos8,res091,20,2,24
hosp002_pos8,res074,21,4,23
hosp002_pos8,res016,22,3,23
hosp002_pos8,res173,23,1,24
hosp002_pos8,res176,24,5,21
hosp002_pos8,res178,25,7,19
hosp002_pos8,res292,26,6,19
hosp002_pos8,res223,27,8,18
hosp002_pos8,res129,28,7,18
hosp002_pos8,res154,29,6,18
hosp002_pos8,res005,30,2,20
hosp002_pos8,res042,32,4,18
hosp002_pos8,res057,33,5,17
hosp002_pos8,res282,34,6,16
hosp002_pos8,res205,35,1,18
hosp002_pos9,res184,1,6,27
hosp002_pos9,res128,2,8,25
hosp002_pos9,res025,3,1,31
hosp002_pos9,res075,4,8,25
hosp002_pos9,res098,5,10,22
hosp002_pos9,res035,6,1,30
hosp002_pos9,res009,7,2,29
hosp002_pos9,res069,8,2,29
hosp002_pos9,res261,9,4,27
hosp002_pos9,res170,10,4,26
hosp002_pos9,res109,11,2,28
hosp002_pos9,res252,12,4,26
hosp002_pos9,res012,13,3,26
hosp002_pos9,res067,14,3,26
hosp002_pos9,res254,15,3,25
hosp002_pos9,res160,16,5,24
hosp002_pos9,res114,17,8,21
hosp002_pos9,res116,19,4,23
hosp002_pos9,res091,20,2,24
hosp002_pos9,res074,21,4,23
hosp002_pos9,res016,22,3,23
hosp002_pos9,res173,23,1,24
hosp002_pos9,res176,24,5,21
hosp002_pos9,res178,25,7,19
hosp002_pos9,res292,26,6,19
hosp002_pos9,res223,27,8,18
hosp002_pos9,res129,28,7,18
hosp002_pos9,res154,29,6,18
hosp002_pos9,res005,30,2,20
hosp002_pos9,res042,32,4,18
hosp002_pos9,res057,33,5,17
hosp002_pos9,res282,34,6,16
hosp002_pos9,res205,35,1,18
hosp003_pos1,res002,2,8,25
hosp003_pos1,res184,3,10,23
hosp003_pos1,res046,5,7,25
hosp003_pos1,res258,6,10,22
hosp003_pos1,res305,8,12,20
hosp003_pos1,res057,12,8,23
hosp003_pos1,res261,13,10,20
hosp003_pos1,res099,26,12,15
hosp003_pos2,res002,2,8,25
hosp003_pos2,res184,3,10,23
hosp003_pos2,res046,5,7,25
hosp003_pos2,res258,6,10,22
hosp003_pos2,res305,8,12,20
hosp003_pos2,res057,12,8,23
hosp003_pos2,res261,13,10,20
hosp003_pos2,res099,26,12,15
hosp003_pos3,res002,2,8,25
hosp003_pos3,res184,3,10,23
hosp003_pos3,res046,5,7,25
hosp003_pos3,res258,6,10,22
hosp003_pos3,res305,8,12,20
hosp003_pos3,res057,12,8,23
hosp003_pos3,res261,13,10,20
hosp003_pos3,res099,26,12,15
hosp003_pos4,res002,2,8,25
hosp003_pos4,res184,3,10,23
hosp003_pos4,res046,5,7,25
hosp003_pos4,res258,6,10,22
hosp003_pos4,res305,8,12,20
hosp003_pos4,res057,12,8,23
hosp003_pos4,res261,13,10,20
hosp003_pos4,res099,26,12,15
hosp003_pos5,res002,2,8,25
hosp003_pos5,res184,3,10,23
hosp003_pos5,res046,5,7,25
hosp003_pos5,res258,6,10,22
hosp003_pos5,res305,8,12,20
hosp003_pos5,res057,12,8,23
hosp003_pos5,res261,13,10,20
hosp003_pos5,res099,26,12,15
hosp003_pos6,res002,2,8,25
hosp003_pos6,res184,3,10,23
hosp003_pos6,res046,5,7,25
hosp003_pos6,res258,6,10,22
hosp003_pos6,res305,8,12,20
hosp003_pos6,res057,12,8,23
hosp003_pos6,res261,13,10,20
hosp003_pos6,res099,26,12,15
hosp003_pos7,res002,2,8,25
hosp003_pos7,res184,3,10,23
hosp003_pos7,res046,5,7,25
hosp003_pos7,res258,6,10,22
hosp003_pos7,res305,8,12,20
hosp003_pos7,res057,12,8,23
hosp003_pos7,res261,13,10,20
hosp003_pos7,res099,26,12,15
hosp003_pos8,res002,2,8,25
hosp003_pos8,res184,3,10,23
hosp003_pos8,res046,5,7,25
hosp003_pos8,res258,6,10,22
hosp003_pos8,res305,8,12,20
hosp003_pos8,res057,12,8,23
hosp003_pos8,res261,13,10,20
hosp003_pos8,res099,26,12,15
hosp003_pos9,res002,2,8,25
hosp003_pos9,res184,3,10,23
hosp003_pos9,res046,5,7,25
hosp003_pos9,res258,6,10,22
hosp003_pos9,res305,8,12,20
hosp003_pos9,res057,12,8,23
hosp003_pos9,res261,13,10,20
hosp003_pos9,res099,26,12,15
hosp005_pos1,res193,3,12,21
hosp005_pos1,res049,6,7,25
hosp005_pos1,res123,7,9,23
hosp005_pos1,res104,9,9,22
hosp005_pos1,res109,10,9,22
hosp005_pos1,res235,13,5,25
hosp005_pos1,res215,16,6,23
hosp005_pos1,res023,19,11,18
hosp005_pos1,res040,21,11,17
hosp005_pos1,res039,22,7,20
hosp005_pos1,res105,25,10,17
hosp005_pos1,res294,26,12,15
hosp005_pos1,res161,31,5,18
hosp005_pos2,res193,3,12,21
hosp005_pos2,res049,6,7,25
hosp005_pos2,res123,7,9,23
hosp005_pos2,res104,9,9,22
hosp005_pos2,res109,10,9,22
hosp005_pos2,res235,13,5,25
hosp005_pos2,res215,16,6,23
hosp005_pos2,res023,19,11,18
hosp005_pos2,res040,21,11,17
hosp005_pos2,res039,22,7,20
hosp005_pos2,res105,25,10,17
hosp005_pos2,res294,26,12,15
hosp005_pos2,res161,31,5,18
hosp005_pos3,res193,3,12,21
hosp005_pos3,res049,6,7,25
hosp005_pos3,res123,7,9,23
hosp005_pos3,res104,9,9,22
hosp005_pos3,res109,10,9,22
hosp005_pos3,res235,13,5,25
hosp005_pos3,res215,16,6,23
hosp005_pos3,res023,19,11,18
hosp005_pos3,res040,21,11,17
hosp005_pos3,res039,22,7,20
hosp005_pos3,res105,25,10,17
hosp005_pos3,res294,26,12,15
hosp005_pos3,res161,31,5,18
hosp006_pos1,res170,1,6,27
hosp006_pos1,res129,2,3,30
hosp006_pos1,res226,3,1,31
hosp006_pos1,res071,4,1,31
hosp006_pos1,res171,5,1,30
hosp006_pos1,res282,6,1,30
hosp006_pos1,res022,7,1,30
hosp006_pos1,res065,8,4,27
hosp006_pos1,res001,9,2,28
hosp006_pos1,res196,10,1,29
hosp006_pos1,res302,11,2,28
hosp006_pos1,res144,12,1,28
hosp006_pos1,res009,13,1,28
hosp006_pos1,res180,14,1,27
hosp006_pos1,res115,15,1,27
hosp006_pos1,res292,16,3,25
hosp006_pos1,res031,17,1,26
hosp006_pos1,res074,19,2,25
hosp006_pos1,res039,20,1,25
hosp006_pos1,res040,21,3,23
hosp006_pos1,res192,22,2,23
hosp006_pos1,res287,23,2,23
hosp006_pos1,res125,24,1,23
hosp006_pos1,res247,25,2,22
hosp006_pos1,res221,26,1,22
hosp006_pos2,res170,1,6,27
hosp006_pos2,res129,2,3,30
hosp006_pos2,res226,3,1,31
hosp006_pos2,res071,4,1,31
hosp006_pos2,res171,5,1,30
hosp006_pos2,res282,6,1,30
hosp006_pos2,res022,7,1,30
hosp006_pos2,res065,8,4,27
hosp006_pos2,res001,9,2,28
hosp006_pos2,res196,10,1,29
hosp006_pos2,res302,11,2,28
hosp006_pos2,res144,12,1,28
hosp006_pos2,res009,13,1,28
hosp006_pos2,res180,14,1,27
hosp006_pos2,res115,15,1,27
hosp006_pos2,res292,16,3,25
hosp006_pos2,res031,17,1,26
hosp006_pos2,res074,19,2,25
hosp006_pos2,res039,20,1,25
hosp006_pos2,res040,21,3,23
hosp006_pos2,res192,22,2,23
hosp006_pos2,res287,23,2,23
hosp006_pos2,res125,24,1,23
hosp006_pos2,res247,25,2,22
hosp006_pos2,res221,26,1,22
hosp006_pos3,res170,1,6,27
hosp006_pos3,res129,2,3,30
hosp006_pos3,res226,3,1,31
hosp006_pos3,res071,4,1,31
hosp006_pos3,res171,5,1,30
hosp006_pos3,res282,6,1,30
hosp006_pos3,res022,7,1,30
hosp006_pos3,res065,8,4,27
hosp006_pos3,res001,9,2,28
hosp006_pos3,res196,10,1,29
hosp006_pos3,res302,11,2,28
hosp006_pos3,res144,12,1,28
hosp006_pos3,res009,13,1,28
hosp006_pos3,res180,14,1,27
hosp006_pos3,res115,15,1,27
hosp006_pos3,res292,16,3,25
hosp006_pos3,res031,17,1,26
hosp006_pos3,res074,19,2,25
hosp006_pos3,res039,20,1,25
hosp006_pos3,res040,21,3,23
hosp006_pos3,res192,22,2,23
hosp006_pos3,res287,23,2,23
hosp006_pos3,res125,24,1,23
hosp006_pos3,res247,25,2,22
hosp006_pos3,res221,26,1,22
hosp007_pos1,res194,1,7,26
hosp007_pos1,res153,2,6,27
hosp007_pos1,res032,3,9,24
hosp007_pos1,res139,4,6,27
hosp007_pos1,res301,6,7,25
hosp007_pos1,res214,7,8,24
hosp007_pos1,res258,8,3,28
hosp007_pos1,res235,14,1,27
hosp007_pos1,res286,15,1,27
hosp007_pos1,res038,17,3,25
hosp007_pos1,res046,19,1,25
hosp007_pos1,res123,20,8,20
hosp007_pos1,res310,21,10,18
hosp007_pos1,res115,22,7,20
hosp007_pos1,res109,24,7,19
hosp007_pos1,res060,26,5,20
hosp007_pos1,res261,27,8,18
hosp007_pos1,res074,28,5,19
hosp007_pos1,res256,29,11,15
hosp007_pos1,res284,30,8,17
hosp007_pos1,res119,32,6,17
hosp007_pos1,res050,34,2,18
hosp007_pos2,res194,1,7,26
hosp007_pos2,res153,2,6,27
hosp007_pos2,res032,3,9,24
hosp007_pos2,res139,4,6,27
hosp007_pos2,res301,6,7,25
hosp007_pos2,res214,7,8,24
hosp007_pos2,res258,8,3,28
hosp007_pos2,res235,14,1,27
hosp007_pos2,res286,15,1,27
hosp007_pos2,res038,17,3,25
hosp007_pos2,res046,19,1,25
hosp007_pos2,res123,20,8,20
hosp007_pos2,res310,21,10,18
hosp007_pos2,res115,22,7,20
hosp007_pos2,res109,24,7,19
hosp007_pos2,res060,26,5,20
hosp007_pos2,res261,27,8,18
hosp007_pos2,res074,28,5,19
hosp007_pos2,res256,29,11,15
hosp007_pos2,res284,30,8,17
hosp007_pos2,res119,32,6,17
hosp007_pos2,res050,34,2,18
hosp007_pos3,res194,1,7,26
hosp007_pos3,res153,2,6,27
hosp007_pos3,res032,3,9,24
hosp007_pos3,res139,4,6,27
hosp007_pos3,res301,6,7,25
hosp007_pos3,res214,7,8,24
hosp007_pos3,res258,8,3,28
hosp007_pos3,res235,14,1,27
hosp007_pos3,res286,15,1,27
hosp007_pos3,res038,17,3,25
hosp007_pos3,res046,19,1,25
hosp007_pos3,res123,20,8,20
hosp007_pos3,res310,21,10,18
hosp007_pos3,res115,22,7,20
hosp007_pos3,res109,24,7,19
hosp007_pos3,res060,26,5,20
hosp007_pos3,res261,27,8,18
hosp007_pos3,res074,28,5,19
hosp007_pos3,res256,29,11,15
hosp007_pos3,res284,30,8,17
hosp007_pos3,res119,32,6,17
hosp007_pos3,res050,34,2,18
hosp008_pos1,res123,1,4,29
hosp008_pos1,res277,2,3,30
hosp008_pos1,res198,3,3,29
hosp008_pos1,res173,4,6,27
hosp008_pos1,res292,5,2,30
hosp008_pos1,res215,6,10,22
hosp008_pos1,res075,7,3,28
hosp008_pos1,res110,8,3,28
hosp008_pos1,res286,9,2,28
hosp008_pos1,res064,10,5,26
hosp008_pos1,res239,11,5,25
hosp008_pos1,res091,12,3,26
hosp008_pos1,res098,13,5,25
hosp008_pos1,res023,14,4,25
hosp008_pos1,res115,15,6,23
hosp008_pos1,res097,16,4,24
hosp008_pos1,res116,17,8,21
hosp008_pos1,res082,18,4,24
hosp008_pos1,res048,19,3,24
hosp008_pos1,res310,20,6,22
hosp008_pos1,res046,21,2,24
hosp008_pos1,res196,22,3,23
hosp008_pos1,res148,23,1,24
hosp008_pos1,res020,24,1,23
hosp008_pos1,res145,25,4,21
hosp008_pos1,res263,26,3,21
hosp008_pos1,res287,27,1,22
hosp008_pos1,res136,28,3,20
hosp008_pos1,res170,29,2,20
hosp008_pos1,res155,30,6,18
hosp008_pos1,res052,31,6,17
hosp008_pos1,res103,32,4,18
hosp008_pos1,res189,34,11,13
hosp008_pos1,res135,35,6,15
hosp008_pos1,res125,36,3,16
hosp008_pos1,res056,37,4,15
hosp008_pos1,res206,38,7,13
hosp008_pos1,res138,39,5,14
hosp008_pos2,res123,1,4,29
hosp008_pos2,res277,2,3,30
hosp008_pos2,res198,3,3,29
hosp008_pos2,res173,4,6,27
hosp008_pos2,res292,5,2,30
hosp008_pos2,res215,6,10,22
hosp008_pos2,res075,7,3,28
hosp008_pos2,res110,8,3,28
hosp008_pos2,res286,9,2,28
hosp008_pos2,res064,10,5,26
hosp008_pos2,res239,11,5,25
hosp008_pos2,res091,12,3,26
hosp008_pos2,res098,13,5,25
hosp008_pos2,res023,14,4,25
hosp008_pos2,res115,15,6,23
hosp008_pos2,res097,16,4,24
hosp008_pos2,res116,17,8,21
hosp008_pos2,res082,18,4,24
hosp008_pos2,res048,19,3,24
hosp008_pos2,res310,20,6,22
hosp008_pos2,res046,21,2,24
hosp008_pos2,res196,22,3,23
hosp008_pos2,res148,23,1,24
hosp008_pos2,res020,24,1,23
hosp008_pos2,res145,25,4,21
hosp008_pos2,res263,26,3,21
hosp008_pos2,res287,27,1,22
hosp008_pos2,res136,28,3,20
hosp008_pos2,res170,29,2,20
hosp008_pos2,res155,30,6,18
hosp008_pos2,res052,31,6,17
hosp008_pos2,res103,32,4,18
hosp008_pos2,res189,34,11,13
hosp008_pos2,res135,35,6,15
hosp008_pos2,res125,36,3,16
hosp008_pos2,res056,37,4,15
hosp008_pos2,res206,38,7,13
hosp008_pos2,res138,39,5,14
hosp008_pos3,res123,1,4,29
hosp008_pos3,res277,2,3,30
hosp008_pos3,res198,3,3,29
hosp008_pos3,res173,4,6,27
hosp008_pos3,res292,5,2,30
hosp008_pos3,res215,6,10,22
hosp008_pos3,res075,7,3,28
hosp008_pos3,res110,8,3,28
hosp008_pos3,res286,9,2,28
hosp008_pos3,res064,10,5,26
hosp008_pos3,res239,11,5,25
hosp008_pos3,res091,12,3,26
hosp008_pos3,res098,13,5,25
hosp008_pos3,res023,14,4,25
hosp008_pos3,res115,15,6,23
hosp008_pos3,res097,16,4,24
hosp008_pos3,res116,17,8,21
hosp008_pos3,res082,18,4,24
hosp008_pos3,res048,19,3,24
hosp008_pos3,res310,20,6,22
hosp008_pos3,res046,21,2,24
hosp008_pos3,res196,22,3,23
hosp008_pos3,res148,23,1,24
hosp008_pos3,res020,24,1,23
hosp008_pos3,res145,25,4,21
hosp008_pos3,res263,26,3,21
hosp008_pos3,res287,27,1,22
hosp008_pos3,res136,28,3,20
hosp008_pos3,res170,29,2,20
hosp008_pos3,res155,30,6,18
hosp008_pos3,res052,31,6,17
hosp008_pos3,res103,32,4,18
hosp008_pos3,res189,34,11,13
hosp008_pos3,res135,35,6,15
hosp008_pos3,res125,36,3,16
hosp008_pos3,res056,37,4,15
hosp008_pos3,res206,38,7,13
hosp008_pos3,res138,39,5,14
hosp008_pos4,res123,1,4,29
hosp008_pos4,res277,2,3,30
hosp008_pos4,res198,3,3,29
hosp008_pos4,res173,4,6,27
hosp008_pos4,res292,5,2,30
hosp008_pos4,res215,6,10,22
hosp008_pos4,res075,7,3,28
hosp008_pos4,res110,8,3,28
hosp008_pos4,res286,9,2,28
hosp008_pos4,res064,10,5,26
hosp008_pos4,res239,11,5,25
hosp008_pos4,res091,12,3,26
hosp008_pos4,res098,13,5,25
hosp008_pos4,res023,14,4,25
hosp008_pos4,res115,15,6,23
hosp008_pos4,res097,16,4,24
hosp008_pos4,res116,17,8,21
hosp008_pos4,res082,18,4,24
hosp008_pos4,res048,19,3,24
hosp008_pos4,res310,20,6,22
hosp008_pos4,res046,21,2,24
hosp008_pos4,res196,22,3,23
hosp008_pos4,res148,23,1,24
hosp008_pos4,res020,24,1,23
hosp008_pos4,res145,25,4,21
hosp008_pos4,res263,26,3,21
hosp008_pos4,res287,27,1,22
hosp008_pos4,res136,28,3,20
hosp008_pos4,res170,29,2,20
hosp008_pos4,res155,30,6,18
hosp008_pos4,res052,31,6,17
hosp008_pos4,res103,32,4,18
hosp008_pos4,res189,34,11,13
hosp008_pos4,res135,35,6,15
hosp008_pos4,res125,36,3,16
hosp008_pos4,res056,37,4,15
hosp008_pos4,res206,38,7,13
hosp008_pos4,res138,39,5,14
hosp008_pos5,res123,1,4,29
hosp008_pos5,res277,2,3,30
hosp008_pos5,res198,3,3,29
hosp008_pos5,res173,4,6,27
hosp008_pos5,res292,5,2,30
hosp008_pos5,res215,6,10,22
hosp008_pos5,res075,7,3,28
hosp008_pos5,res110,8,3,28
hosp008_pos5,res286,9,2,28
hosp008_pos5,res064,10,5,26
hosp008_pos5,res239,11,5,25
hosp008_pos5,res091,12,3,26
hosp008_pos5,res098,13,5,25
hosp008_pos5,res023,14,4,25
hosp008_pos5,res115,15,6,23
hosp008_pos5,res097,16,4,24
hosp008_pos5,res116,17,8,21
hosp008_pos5,res082,18,4,24
hosp008_pos5,res048,19,3,24
hosp008_pos5,res310,20,6,22
hosp008_pos5,res046,21,2,24
hosp008_pos5,res196,22,3,23
hosp008_pos5,res148,23,1,24
hosp008_pos5,res020,24,1,23
hosp008_pos5,res145,25,4,21
hosp008_pos5,res263,26,3,21
hosp008_pos5,res287,27,1,22
hosp008_pos5,res136,28,3,20
hosp008_pos5,res170,29,2,20
hosp008_pos5,res155,30,6,18
hosp008_pos5,res052,31,6,17
hosp008_pos5,res103,32,4,18
hosp008_pos5,res189,34,11,13
hosp008_pos5,res135,35,6,15
hosp008_pos5,res125,36,3,16
hosp008_pos5,res056,37,4,15
hosp008_pos5,res206,38,7,13
hosp008_pos5,res138,39,5,14
hosp008_pos6,res123,1,4,29
hosp008_pos6,res277,2,3,30
hosp008_pos6,res198,3,3,29
hosp008_pos6,res173,4,6,27
hosp008_pos6,res292,5,2,30
hosp008_pos6,res215,6,10,22
hosp008_pos6,res075,7,3,28
hosp008_pos6,res110,8,3,28
hosp008_pos6,res286,9,2,28
hosp008_pos6,res064,10,5,26
hosp008_pos6,res239,11,5,25
hosp008_pos6,res091,12,3,26
hosp008_pos6,res098,13,5,25
hosp008_pos6,res023,14,4,25
hosp008_pos6,res115,15,6,23
hosp008_pos6,res097,16,4,24
hosp008_pos6,res116,17,8,21
hosp008_pos6,res082,18,4,24
hosp008_pos6,res048,19,3,24
hosp008_pos6,res310,20,6,22
hosp008_pos6,res046,21,2,24
hosp008_pos6,res196,22,3,23
hosp008_pos6,res148,23,1,24
hosp008_pos6,res020,24,1,23
hosp008_pos6,res145,25,4,21
